group,team,game,opponent,attempts,off_target,on_target,goals_for,goals_against,on_target_against,on_target
W,LIVE,7,ATLE,7,5,0,0,1,2,0
W,DORT,7,PARI,12,7,3,2,1,3,3
W,PARI,7,DORT,9,4,3,1,2,3,3
W,ATAL,7,VALE,11,5,5,4,1,4,5
W,VALE,7,ATAL,17,10,4,1,4,5,4
W,TOTT,7,LEIP,12,4,6,0,1,5,6
W,LEIP,7,TOTT,16,4,5,1,0,6,5
W,CHEL,7,BAYE,7,4,3,0,3,6,3
W,BAYE,7,CHEL,15,6,6,3,0,3,6
W,NAPO,7,BARC,7,2,4,1,1,1,4
W,BARC,7,NAPO,7,4,1,1,1,4,1
W,LYON,7,JUVE,12,6,2,1,0,1,2
W,JUVE,7,LYON,15,9,1,0,1,2,1
W,REAL,7,MANC,9,4,3,1,2,8,3
W,MANC,7,REAL,16,5,8,2,1,3,8
W,VALE,8,ATAL,16,6,7,3,4,5,7
W,ATAL,8,VALE,11,4,5,4,3,7,5
W,LEIP,8,TOTT,13,4,5,3,0,3,5
W,TOTT,8,LEIP,7,2,3,0,3,5,3
W,LIVE,8,ATLE,35,15,12,2,3,6,12
W,ATLE,8,LIVE,10,4,6,3,2,12,6
W,PARI,8,DORT,9,3,4,2,0,2,4
W,DORT,8,PARI,12,7,2,0,2,4,2
W,JUVE,8,LYON,16,5,4,2,1,1,4
W,LYON,8,JUVE,6,3,1,1,2,4,1
W,MANC,8,REAL,21,6,9,2,1,4,9
W,REAL,8,MANC,9,2,4,1,2,9,4
W,BAYE,8,CHEL,18,8,7,4,1,4,7
W,CHEL,8,BAYE,10,3,4,1,4,7,4
W,BARC,8,NAPO,8,3,4,3,1,3,4
W,NAPO,8,BARC,19,5,3,1,3,4,3
X,ATAL,9,PARI,9,3,4,1,2,6,4
X,PARI,9,ATAL,16,7,6,2,1,4,6
X,LEIP,9,ATLE,10,5,4,2,1,3,4
X,ATLE,9,LEIP,9,2,3,1,2,4,3
X,BARC,9,BAYE,7,1,5,2,8,13,5
X,BAYE,9,BARC,26,9,13,8,2,5,13
X,MANC,9,LYON,19,6,8,1,3,6,8
X,LYON,9,MANC,7,0,6,3,1,8,6
Y,LEIP,10,PARI,15,6,3,0,3,9,3
Y,PARI,10,LEIP,14,4,9,3,0,3,9
Y,LYON,10,BAYE,9,5,3,0,3,9,3
Y,BAYE,10,LYON,20,5,9,3,0,3,9
